NPWP9_Masking,TAHUN_PETA,NAMA_WP_Masking,NAMA_KPP,NAMA_KANWIL,JENIS_WP,X_001,X_002,X_003,X_004,X_005,X_006,X_007,Y_001,Y_002,SKOR_X,SKOR_Y,KUADRAN_X,KUADRAN_Y,KUADRAN,LEVEL_RISIKO
NPWP_001,2022,Wajib Pajak 001,KPP Wajib Pajak Besar Dua,Kanwil DJP Wajib Pajak Besar,BADAN,0.0,0.0,0.0,0.0,0.6431538067845795,0.6972516858916351,0.22,10513722008282.545,645838817390.0,0.9966666666666668,10513722008282.545,3,3,X3Y3,Tinggi
NPWP_002,2022,Wajib Pajak 002,KPP Penanaman Modal Asing Empat,Kanwil DJP Jakarta Khusus,BADAN,0.0,0.0,0.0,0.0,0.0,0.089313424096963,0.22,50821265678.24011,2438499629.0,0.9994444444444444,50821265678.24011,3,3,X3Y3,Tinggi
NPWP_003,2022,Wajib Pajak 003,KPP Wajib Pajak Besar Dua,Kanwil DJP Wajib Pajak Besar,BADAN,1.0,0.0,0.0,0.0,0.0092089757324243,0.3166763861845007,0.22,0.0,268762430696.0,1.0,268762430696.0,3,3,X3Y3,Tinggi
NPWP_004,2022,Wajib Pajak 004,KPP Pratama Palembang Ilir Barat,Kanwil DJP Sumatera Selatan dan Kepulauan Bangka Belitung,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_005,2022,Wajib Pajak 005,KPP Madya Medan,Kanwil DJP Sumatera Utara I,BADAN,0.0,0.0,0.0,0.0,1.1770956867784663,0.519935921216553,0.22,261550168248.0,223236286125.0,0.9933333333333332,261550168248.0,3,3,X3Y3,Tinggi
NPWP_006,2022,Wajib Pajak 006,KPP Madya Denpasar,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.0,0.1970521807499387,0.1779584467408235,0.0,39933328.0,0.6844444444444445,39933328.0,3,1,X3Y1,Sedang
NPWP_007,2022,Wajib Pajak 007,KPP Pratama Medan Polonia,Kanwil DJP Sumatera Utara I,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_008,2022,Wajib Pajak 008,KPP Madya Tangerang,Kanwil DJP Banten,BADAN,1.0,0.0,0.0,0.0,1.5712343156861028,0.6363125356977019,0.22,0.0,908985165454.0,1.0,908985165454.0,3,3,X3Y3,Tinggi
NPWP_009,2022,Wajib Pajak 009,KPP Madya Surabaya,Kanwil DJP Jawa Timur I,BADAN,0.0,0.0,0.0,0.3616813294232649,0.0,0.4229892338490528,0.1646421406540601,0.0,0.0,0.7166666666666667,0.0,3,1,X3Y1,Sedang
NPWP_010,2022,Wajib Pajak 010,KPP Madya Medan,Kanwil DJP Sumatera Utara I,BADAN,0.0,0.0,0.0,0.0,0.0,0.0421478000345332,0.1420385460176221,0.0,0.0,0.4856666666666666,0.0,2,1,X2Y1,Rendah
NPWP_011,2022,Wajib Pajak 011,KPP Pratama Medan Timur,Kanwil DJP Sumatera Utara I,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_012,2022,Wajib Pajak 012,KPP Madya Dua Jakarta Barat,Kanwil DJP Jakarta Barat,BADAN,0.0,0.0,0.0,0.0,0.0,0.0652421500157709,0.1913206633035312,0.0,0.0,0.9827777777777778,0.0,3,1,X3Y1,Sedang
NPWP_013,2022,Wajib Pajak 013,KPP Madya Bogar,Kanwil DJP Jawa Barat III,BADAN,1.0,0.0,0.0,0.0,1.6932676415422214,0.5451904668521992,0.22,0.0,286848025464.0,1.0,286848025464.0,3,3,X3Y3,Tinggi
NPWP_014,2022,Wajib Pajak 014,KPP Madya Jakarta Barat,Kanwil DJP Jakarta Barat,BADAN,0.0,0.0,0.0,0.0,0.0,0.3220338879708949,0.187488317314114,0.0,0.0,0.9673333333333332,0.0,3,1,X3Y1,Sedang
NPWP_015,2022,Wajib Pajak 015,KPP Madya Denpasar,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.0072913848070797,0.1770339788682331,0.22,518363348.0,689749008.0,0.9033333333333332,689749008.0,3,2,X3Y2,Tinggi
NPWP_016,2022,Wajib Pajak 016,KPP Madya Dua Semarang,Kanwil DJP Jawa Tengah I,BADAN,0.0,0.0,0.0,0.0,1.258490294444956,0.6259371158719258,0.22,0.0,253345759788.0,0.9966666666666668,253345759788.0,3,3,X3Y3,Tinggi
NPWP_017,2022,Wajib Pajak 017,KPP Madya Denpasar,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.0,0.3346789757022389,0.22,0.0,0.0,0.9916666666666668,0.0,3,1,X3Y1,Sedang
NPWP_018,2022,Wajib Pajak 018,KPP Pratama Tebing Tinggi,Kanwil DJP Sumatera Utara II,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5530862470.0,0.0,5530862470.0,1,3,X1Y3,Sedang
NPWP_019,2022,Wajib Pajak 019,KPP Madya Tangerang,Kanwil DJP Banten,BADAN,1.0,0.0,0.0,0.0,1.8336449316359371,0.5622405121922323,0.22,0.0,697382088978.0,1.0,697382088978.0,3,3,X3Y3,Tinggi
NPWP_020,2022,Wajib Pajak 020,KPP Madya Dua Semarang,Kanwil DJP Jawa Tengah I,BADAN,0.0,0.0,0.0,0.0,0.0,0.1153543251929993,0.22,0.0,0.0,0.9994444444444444,0.0,3,1,X3Y1,Sedang
NPWP_021,2022,Wajib Pajak 021,KPP Pratama Lubuk Pakam,Kanwil DJP Sumatera Utara I,BADAN,1.0,0.0,0.0,0.0,0.0,0.3680094924870253,0.1743810727644033,0.0,0.0,0.99,0.0,3,1,X3Y1,Sedang
NPWP_022,2022,Wajib Pajak 022,KPP Madya Malang,Kanwil DJP Jawa Timur III,BADAN,1.0,0.0,0.0,0.0972971845853635,1.3384787226411752,0.6626841054630621,0.22,0.0,288167404044.0,0.99,288167404044.0,3,3,X3Y3,Tinggi
NPWP_023,2022,Wajib Pajak 023,KPP Madya Tangerang,Kanwil DJP Banten,BADAN,0.0,0.0,0.0,0.0,0.0,0.2993197403847565,0.22,0.0,183544022.0,0.9633333333333334,183544022.0,3,2,X3Y2,Tinggi
NPWP_024,2022,Wajib Pajak 024,KPP Pratama Batam Selatan,Kanwil DJP Kepulauan Riau,BADAN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.615,0.0,3,1,X3Y1,Sedang
NPWP_025,2022,Wajib Pajak 025,KPP Pratama Tanjung Balai Karimun,Kanwil DJP Kepulauan Riau,BADAN,0.0,1.0,0.0,0.0,0.0,0.0536586273381546,0.0,0.0,0.0,0.2766666666666666,0.0,2,1,X2Y1,Rendah
NPWP_026,2022,Wajib Pajak 026,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,1.0,0.0,0.0,0.0,0.1469046245728474,0.010704703161773,0.0,0.0,623511565.0,0.6633333333333333,623511565.0,3,2,X3Y2,Tinggi
NPWP_027,2022,Wajib Pajak 027,KPP Madya Denpasar,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0,0.2582820148900702,0.22,0.0,0.0,0.95,0.0,3,1,X3Y1,Sedang
NPWP_246,2022,Wajib Pajak 246,KPP Pratama Batu,Kanwil DJP Jawa Timur III,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
NPWP_028,2022,Wajib Pajak 028,KPP Pratama Singaraja,Kanwil DJP Bali,BADAN,0.0,0.0,0.0,0.0,0.0,0.1808159517274079,0.1759160377422691,6563141216.600002,0.0,0.7251111111111112,6563141216.600002,3,3,X3Y3,Tinggi
NPWP_029,2022,Wajib Pajak 029,KPP Pratama Lubuk Pakam,Kanwil DJP Sumatera Utara I,BADAN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,X1Y1,Rendah
